"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL515312"	""	"None"	"349.46"	"0"	"4.38"	"17"	"CCCc1c(Sc2cccc3ccccc23)[nH]c2nc(N)nc(N)c12"	"IC50"	"'>'"	"12000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL982939"	"Inhibition of human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1155823"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""
"CHEMBL478191"	""	"None"	"368.29"	"0"	"4.70"	"19"	"CC(C)c1c(Sc2c(Cl)cccc2Cl)[nH]c2nc(N)nc(N)c12"	"Inhibition"	"'='"	"18.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL982940"	"Inhibition of human thymidylate synthase at >22 uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1155823"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""
"CHEMBL192632"	""	"None"	"441.44"	"1"	"1.06"	"4"	"Nc1nc2[nH]c(CCCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1"	"IC50"	"'>'"	"17000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL827966"	"Inhibition of human thymidylate synthetase at 37 degree C pH 7.4"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141150"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""
"CHEMBL494067"	""	"None"	"289.38"	"0"	"3.03"	"5"	"Cc1sc2nc(N)[nH]c(=O)c2c1Sc1ccccc1"	"IC50"	"'='"	"1200.0"	"nM"	"5.92"	""	""	"UO_0000065"	"20.46"	"0.43"	"2.89"	"8.25"	"0"	"CHEMBL1034979"	"Inhibition of human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140135"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""
"CHEMBL495124"	""	"None"	"339.45"	"0"	"4.18"	"11"	"Cc1sc2nc(N)[nH]c(=O)c2c1Sc1ccc2ccccc2c1"	"IC50"	"'='"	"120.0"	"nM"	"6.92"	""	""	"UO_0000065"	"20.39"	"0.41"	"2.74"	"9.64"	"0"	"CHEMBL1034979"	"Inhibition of human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140135"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""
"CHEMBL351403"	""	"None"	"283.36"	"0"	"3.50"	"8"	"Cc1nc(O)c2c(Sc3ccncc3)c(C)ccc2n1"	"Ki"	"'='"	"58.0"	"nM"	"7.24"	""	""	"UO_0000065"	"25.54"	"0.49"	"3.74"	"12.29"	"0"	"CHEMBL823516"	"Inhibition of human Thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126619"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL1160200"	""	"None"	"447.45"	"0"	"1.68"	"PDDP-GI"	"C#CN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)NC(CCC=O)C(=O)O)cc1"	"IC50"	"'='"	"10.0"	"nM"	"8.00"	""	""	"UO_0000065"	"17.88"	"0.33"	"6.32"	"5.04"	"0"	"CHEMBL812564"	"Inhibitory activity against thymidylate synthase of Streptococcus faecium"	"B"	"BAO_0000357"	"single protein format"	"Lacticaseibacillus casei"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1123439"	"1"	"Scientific Literature"	"J Med Chem"	"1986"	"None"	""	""	""
"CHEMBL305207"	""	"None"	"292.29"	"0"	"2.91"	"6a"	"O=C1OC(O)(c2ccccc2O)c2cccc3cccc1c23"	"IF"	"'='"	"0.957"	""	""	""	""	""	""	""	""	""	"0"	"CHEMBL816744"	"Inhibition factor for Human Thymidylate synthase at 27 uM."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1132636"	"1"	"Scientific Literature"	"J Med Chem"	"1999"	"None"	""	""	""
"CHEMBL46945"	""	"None"	"529.55"	"2"	"1.68"	"11"	"CCOC(=O)CCC(NC(=O)c1ccc(N(CC2CCc3nc(N)nc(O)c3N2)N=O)cc1)C(=O)OCC"	"Ki"	"'='"	"240000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL815564"	"Inhibitory activity against human thymidylate synthase with variable concentration of dUMP and fixed N5,10-CH2-H4PteGlu (200 uM)"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1122546"	"1"	"Scientific Literature"	"J Med Chem"	"1984"	"None"	""	""	""
"CHEMBL301423"	""	"None"	"371.36"	"0"	"4.30"	"4"	"C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1cccc(C(F)(F)F)c1"	"Ki"	"'='"	"390.0"	"nM"	"6.41"	""	""	"UO_0000065"	"17.26"	"0.32"	"2.11"	"13.01"	"0"	"CHEMBL817302"	"Inhibition of human Thymidylate synthase (Ki)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125269"	"1"	"Scientific Literature"	"J Med Chem"	"1991"	"None"	""	""	""
"CHEMBL3125089"	""	"None"	"1010.19"	"None"	"None"	"[DGln4]LR"	"CC(C)C[C@H](NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](CS)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CC(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O"	"Activity"	""	""	""	""	""	"Not Active"	""	""	""	""	""	"0"	"CHEMBL3130604"	"Inhibition of thymidylate synthase in human 2008 cells assessed as change in thymidylate synthase protein level at 1 to 5 uM after 48 hrs by Western blotting analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"2008"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3124918"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"CHEMBL3308015"	""	""	""
"CHEMBL3125095"	""	"None"	"449.53"	"1"	"-2.91"	"LR(1-4)"	"CC(C)C[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(N)=O)C(=O)O"	"Inhibition"	"'='"	"59.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL3130609"	"Inhibition of human thymidylate synthase using dUMP as substrate at 75 uM after 1 hr by UV-vis spectrophotometric analysis in presence of mTHF relative to control"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3124918"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL73314"	""	"None"	"380.25"	"0"	"4.86"	"18a"	"Oc1nc(NCc2ccccc2)nc2ccc3c(Br)cccc3c12"	"IC50"	"'='"	"520.0"	"nM"	"6.28"	""	""	"UO_0000065"	"16.53"	"0.36"	"1.42"	"10.83"	"0"	"CHEMBL809253"	"Tested for inhibition against thymidylate synthase (TS) in human"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL306775"	""	"None"	"245.67"	"0"	"2.72"	"4j"	"Nc1nc(O)c2c(ccc3ccc(Cl)cc32)n1"	"IC50"	"'='"	"25.0"	"nM"	"7.60"	""	""	"UO_0000065"	"30.94"	"0.61"	"4.88"	"10.55"	"0"	"CHEMBL809253"	"Tested for inhibition against thymidylate synthase (TS) in human"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126757"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL65398"	""	"None"	"1032.35"	"None"	"None"	"5bb"	"O=C1OC(c2ccc(O)c(Cl)c2)(c2ccc(O)c(Cl)c2)c2ccc(Br)c3cccc1c23.O=C1OC(c2ccc(O)c(Cl)c2)(c2ccc(O)c(Cl)c2)c2cccc3c(Br)ccc1c23"	"IF"	"'='"	"1.0"	""	""	""	""	""	""	""	""	""	"0"	"CHEMBL816744"	"Inhibition factor for Human Thymidylate synthase at 27 uM."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1132636"	"1"	"Scientific Literature"	"J Med Chem"	"1999"	"None"	""	""	""
